[21:00:59] kw='PMO Manager'                                       found= 10  cumulative= 10
[21:01:14] kw='Project Management Officer'                        found=  8  cumulative= 18
[21:01:29] kw='Strategic PMO Lead'                                found=  5  cumulative= 23
[21:01:43] kw='Business Transformation Manager'                   found=  6  cumulative= 29
[21:01:57] kw='Chief of Staff'                                    found=  5  cumulative= 34
[21:02:11] kw='PMO Manager'                                       found=  1  cumulative= 35
[21:02:26] kw='Projektmanagement-Experte'                         found=  5  cumulative= 40
[21:02:40] kw='Leiter Projektmanagementoffice'                    found=  4  cumulative= 44
[21:02:54] kw='Change Manager'                                    found=  4  cumulative= 48
[21:03:09] kw='Transformation Manager'                            found=  0  cumulative= 48
[21:05:28] kw='PMO Analyst'                                       found=  6  cumulative= 54
[21:05:43] kw='PMO Specialist'                                    found=  2  cumulative= 56
[21:05:56] kw='PMO Manager'                                       found=  0  cumulative= 56
[21:06:09] kw='Program Management Officer'                        found=  2  cumulative= 58
[21:06:23] kw='Portfolio Manager'                                 found= 10  cumulative= 68
[21:06:38] kw='Project Governance Manager'                        found=  1  cumulative= 69
[21:06:52] kw='Project Controller'                                found=  7  cumulative= 76
[21:07:05] kw='Strategic Planning Manager'                        found=  8  cumulative= 84
[21:07:20] kw='Project Delivery Manager'                          found=  3  cumulative= 87
[21:07:34] kw='Transformation PMO'                                found=  0  cumulative= 87
[21:07:48] kw='Agile PMO Lead'                                    found=  1  cumulative= 88
[21:08:03] kw='Business Operations Manager (PMO)'                 found=  1  cumulative= 89
[21:08:17] kw='Chief of Staff (Operations)'                       found=  2  cumulative= 91
[21:08:32] kw='Change Management Specialist'                      found=  2  cumulative= 93
[21:08:46] kw='Business Transformation Lead'                      found=  2  cumulative= 95
[21:09:01] kw='Enterprise PMO (EPMO) Director'                    found=  1  cumulative= 96
[21:09:24] kw='Strategy Implementation Manager'                   found=  1  cumulative= 97
[21:09:38] kw='Agile Coach / Scrum Master (Governance Focus)'     found=  8  cumulative=105
[21:09:52] kw='Process Excellence Manager'                        found=  1  cumulative=106
